,fluxes,reduced_costs
ATPM,3.15,0.0
rxn14414_c0,0.0,3.4859310291349766e-17
rxn14412_c0,0.0,-1.579840545704802e-16
rxn14416_c0,0.0,0.0
rxn14418_c0,18.91218125241878,0.0
rxn14419_c0,18.91218125241878,0.0
rxn14420_c0,0.0,0.0
rxn14421_c0,0.0,0.0
rxn14422_c0,0.0,0.0
rxn14425_c0,0.0,0.0
rxn14426_c0,0.0,0.0
rxn14427_c0,0.0,0.0
rxn05553_c0,0.0,-1.3877787807814457e-16
rxn05488_c0,0.0,1.3877787807814457e-17
rxn11322_c0,0.0,0.0
rxn05145_c0,0.0,6.915870704194388e-17
rxn09679_c0,10.0,0.0
rxn11382_c0,0.0,0.0
rxn10836_c0,0.0,-0.0
rxn05467_c0,0.0,1.3877787807814457e-16
rxn05468_c0,9.45609062620939,0.0
rxn05319_c0,-25.194408341405264,-8.514597983706573e-17
rxn08094_c0,6.478458602801209,5.204170427930421e-17
rxn00011_c0,1.5388926061862146e-14,-1.5781862612093604e-16
rxn00077_c0,0.0,-0.0
rxn00083_c0,0.0,1.4704196796351412e-17
rxn00102_c0,0.0,-2.447186837083089e-17
rxn00122_c0,1.0938056690074492e-14,-0.0
rxn05313_c0,5.657963907897366,-6.162975822039155e-33
rxn00147_c0,1.1347981736189807e-14,1.942890293094024e-16
rxn00148_c0,0.0,-1.1102230246251565e-16
rxn00159_c0,-6.478458602801215,5.204170427930421e-17
rxn00161_c0,0.0,8.326672684688674e-17
rxn00162_c0,0.0,1.768593741637275e-16
rxn00173_c0,4.4715606015578255e-15,3.6573722509715134e-17
rxn00175_c0,-1.0938056690074492e-14,1.3700194440921435e-16
rxn00178_c0,0.0,6.938893903907228e-17
rxn00199_c0,0.0,6.583707170121186e-17
rxn00216_c0,10.000000000000005,9.71445146547012e-17
rxn00224_c0,0.0,-0.0
rxn00225_c0,0.0,-1.0069638199256162e-16
rxn00247_c0,-43.6902294736513,3.291853585060593e-17
rxn00248_c0,0.0,-7.13713154579232e-17
rxn00251_c0,39.843984425857336,3.291853585060593e-17
rxn00256_c0,-1.4481134080349287,3.2837072447980236e-18
rxn00285_c0,-6.478458602801215,-7.998301960208872e-17
rxn00288_c0,0.0,9.71445146547012e-17
rxn00330_c0,6.478458602801221,3.2837072447980236e-18
rxn00336_c0,-6.478458602801215,-0.0
rxn00371_c0,-1.7431045145039886e-15,-3.122502256758253e-17
rxn00392_c0,1.0938056690074492e-14,-0.0
rxn00441_c0,0.0,4.6796323658420386e-17
rxn00459_c0,4.542987720989736,-1.8792529901789917e-18
rxn00500_c0,0.0,-9.119680896021943e-17
rxn00505_c0,7.92657201083615,5.204170427930421e-17
rxn00506_c0,-1.0938056690074492e-14,1.9308908135853875e-17
rxn00543_c0,0.0,2.2592615380651898e-17
rxn00544_c0,1.5388926061862146e-14,-4.163336342344337e-17
rxn00545_c0,-0.49579104430869664,1.3877787807814457e-17
rxn00549_c0,0.0,-2.7755575615628914e-17
rxn00558_c0,3.5244942653957243,0.0
rxn00568_c0,-0.10871923816000055,-2.465190328815662e-32
rxn00569_c0,0.10871923815999973,-2.2056295194527093e-17
rxn00604_c0,6.200352107162289,1.247339510412052e-17
rxn00615_c0,0.0,6.938893903907228e-17
rxn00616_c0,1.0938056690074492e-14,-0.0
rxn00623_c0,7.401486830834377e-17,1.0139408432292617e-17
rxn00670_c0,0.0,-1.6828160260299708e-16
rxn00747_c0,0.495791044308696,-2.7755575615628914e-17
rxn00763_c0,0.0,5.9477056944817685e-18
rxn00770_c0,-4.0992504611531525e-16,-1.3877787807814457e-17
rxn00777_c0,0.15520454204817327,8.326672684688674e-17
rxn00781_c0,6.550938094907859,-2.8360658527944284e-16
rxn00782_c0,0.0,-5.819173673552371e-16
rxn00785_c0,2.5650134333132733,-8.326672684688674e-17
rxn00786_c0,-0.49579104430869664,-0.0
rxn00799_c0,0.0,-6.143811695241941e-16
rxn00868_c0,0.0,7.533664473355405e-17
rxn00874_c0,0.0,1.734723475976807e-16
rxn00973_c0,1.448113408034929,0.0
rxn00974_c0,0.0,-1.575704079799345e-17
rxn00985_c0,0.0,1.5413346143388877e-17
rxn01100_c0,-6.550938094907859,-7.810376661190973e-17
rxn01106_c0,-4.542987720989736,-0.0
rxn01115_c0,-4.080326963042169,3.469446951953614e-18
rxn01116_c0,-3.925122420993996,2.220446049250313e-16
rxn01123_c0,0.0,1.3877787807814457e-17
rxn01169_c0,4.996003610813204e-16,-1.3877787807814457e-17
rxn01200_c0,1.3601089876807224,2.7755575615628914e-17
rxn01241_c0,0.0,5.9477056944817685e-18
rxn01333_c0,-1.360108987680724,-0.0
rxn01334_c0,0.0,0.0
rxn01343_c0,1.5543122344752192e-15,1.3877787807814457e-17
rxn01387_c0,0.0,1.247339510412052e-17
rxn01388_c0,0.0,-3.15140815959869e-17
rxn01476_c0,6.200352107162289,2.447186837083089e-17
rxn01477_c0,10.28067907020446,-1.267793432605091e-16
rxn01480_c0,0.0,5.9477056944817685e-18
rxn01871_c0,0.0,2.0816681711721685e-17
rxn01872_c0,0.0,5.551115123125783e-17
rxn01975_c0,0.0,2.494679020824104e-17
rxn01977_c0,0.0,0.0
rxn02167_c0,0.0,-5.045151031752959e-17
rxn02185_c0,0.0,-1.3877787807814457e-17
rxn02314_c0,0.0,-0.0
rxn02342_c0,0.0,-2.7755575615628914e-17
rxn02359_c0,0.0,-2.7755575615628914e-17
rxn02376_c0,0.0,1.1102230246251565e-16
rxn02380_c0,4.996003610813204e-16,-0.0
rxn03240_c0,0.0,-8.514597983706573e-17
rxn03249_c0,0.0,1.9825493502296225e-17
rxn03250_c0,0.0,-8.514597983706573e-17
rxn03884_c0,10.280679070204462,-2.7755575615628914e-17
rxn05040_c0,0.0,1.0585934222753864e-16
rxn05209_c0,-16.9738917236921,-1.1526451173657316e-17
rxn05528_c0,0.0,-0.0
rxn05573_c0,0.0,0.0
rxn05581_c0,0.0,-1.3877787807814457e-17
rxn05602_c0,0.0,0.0
rxn05625_c0,0.0,-5.0306980803327406e-17
rxn05627_c0,0.0,0.0
rxn06493_c0,0.0,5.9477056944817685e-18
rxn06526_c0,0.0,-1.4043927036939374e-18
rxn06777_c0,0.0,5.9477056944817685e-18
rxn08527_c0,0.0,-2.920124006320135e-17
rxn08556_c0,-1.0325357694211192e-14,-8.254389462310052e-17
rxn08557_c0,0.0,-1.6508778924620104e-16
rxn08971_c0,0.0,-1.7698320063516458e-16
rxn08975_c0,18.91218125241879,-8.849160031758229e-17
rxn09272_c0,0.0,2.920124006320135e-17
rxn10042_c0,11.310256966643767,0.0
rxn10118_c0,2.6645352591003757e-15,0.0
rxn10120_c0,2.6645352591003757e-15,0.0
rxn10121_c0,0.0,0.0
rxn10125_c0,0.0,-1.4704196796351412e-17
rxn10126_c0,0.0,-1.6508778924620104e-16
bio1_biomass,1.3422128167901892,-8.452352246515305e-17
bio2_biomass,0.0,0.0
EX_cpd00067_e0,13.433805419407971,-8.714827572837441e-18
EX_cpd00029_e0,0.0,-0.08948085445267906
EX_cpd00058_e0,0.0,0.0
EX_cpd01947_e0,0.0,0.0
EX_cpd00100_e0,0.0,-0.13422128167901876
EX_cpd00141_e0,0.0,0.0
EX_cpd00011_e0,0.0,-0.04474042722633964
EX_cpd00971_e0,0.0,0.0
EX_cpd00159_e0,0.0,0.0
EX_cpd00075_e0,0.0,0.0
EX_cpd00209_e0,0.0,0.0
EX_cpd00009_e0,-5.657963907897366,-1.0337717147269453e-17
EX_cpd00007_e0,-9.45609062620939,-5.0306980803327406e-17
EX_cpd00027_e0,-10.0,-0.26844256335803773
EX_cpd00211_e0,0.0,0.0
EX_cpd00363_e0,0.0,-0.08948085445267887
EX_cpd00001_e0,25.194408341405264,-1.3877787807814457e-17
DM_cpd11416_c0,1.3422128167901874,0.0
