#query	mnx_id	reference	xrefs	name
ACALD	MNXR190509	rheaR:23288	bigg.reaction:ACALD ... bigg.reaction:ACALDh ... bigg.reaction:R_ACALD ... bigg.reaction:R_ACALDh ... biggR:ACALD ... biggR:ACALDh ... biggR:R_ACALD ... biggR:R_ACALDh ... deprecated:MNXR190510 ... deprecated:MNXR95210 ... kegg.reaction:R00228 ... keggR:R00228 ... metacyc.reaction:ACETALD-DEHYDROG-RXN ... metacycR:ACETALD-DEHYDROG-RXN ... rhea:23288 ... rhea:23289 ... rhea:23290 ... rhea:23291 ... rheaR:23288 ... rheaR:23289 ... rheaR:23290 ... rheaR:23291 ... sabiork.reaction:163 ... sabiorkR:163 ... seed.reaction:rxn00171 ... seed.reaction:rxn27656 ... seed.reaction:rxn32710 ... seed.reaction:rxn32711 ... seedR:rxn00171 ... seedR:rxn27656 ... seedR:rxn32710 ... seedR:rxn32711	1 MNXM10@MNXD1 + 1 MNXM1104266@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM727276@MNXD1 + 1 MNXM75@MNXD1 + 1 MNXM8@MNXD1
ACALDt	MNXR95212	seedR:rxn08032	bigg.reaction:ACALDt ... bigg.reaction:ACALDtex ... bigg.reaction:ACALDtm ... bigg.reaction:ACALDtpp ... bigg.reaction:ACALDtr ... bigg.reaction:ACALDtx ... bigg.reaction:EX_acald_e ... bigg.reaction:R_ACALDt ... bigg.reaction:R_ACALDtex ... bigg.reaction:R_ACALDtm ... bigg.reaction:R_ACALDtpp ... bigg.reaction:R_ACALDtr ... bigg.reaction:R_ACALDtx ... bigg.reaction:R_EX_acald_e ... biggR:ACALDt ... biggR:ACALDtex ... biggR:ACALDtm ... biggR:ACALDtpp ... biggR:ACALDtr ... biggR:ACALDtx ... biggR:EX_acald_e ... biggR:R_ACALDt ... biggR:R_ACALDtex ... biggR:R_ACALDtm ... biggR:R_ACALDtpp ... biggR:R_ACALDtr ... biggR:R_ACALDtx ... biggR:R_EX_acald_e ... deprecated:MNXR354 ... deprecated:MNXR98198 ... seed.reaction:rxn08032 ... seed.reaction:rxn08033 ... seed.reaction:rxn09700 ... seed.reaction:rxn13212 ... seed.reaction:rxn34463 ... seedR:rxn08032 ... seedR:rxn08033 ... seedR:rxn09700 ... seedR:rxn13212 ... seedR:rxn34463	1 MNXM75@MNXD1 = 1 MNXM75@MNXD2
ACKr	MNXR95269	rheaR:11352	bigg.reaction:ACKr ... bigg.reaction:ACKrh ... bigg.reaction:ACKrm ... bigg.reaction:R_ACKr ... bigg.reaction:R_ACKrh ... bigg.reaction:R_ACKrm ... biggR:ACKr ... biggR:ACKrh ... biggR:ACKrm ... biggR:R_ACKr ... biggR:R_ACKrh ... biggR:R_ACKrm ... deprecated:MNXR390 ... kegg.reaction:R00315 ... keggR:R00315 ... metacyc.reaction:ACETATEKIN-RXN ... metacycR:ACETATEKIN-RXN ... rhea:11352 ... rhea:11353 ... rhea:11354 ... rhea:11355 ... rheaR:11352 ... rheaR:11353 ... rheaR:11354 ... rheaR:11355 ... sabiork.reaction:71 ... sabiorkR:71 ... seed.reaction:rxn00225 ... seed.reaction:rxn27661 ... seed.reaction:rxn27662 ... seed.reaction:rxn34299 ... seedR:rxn00225 ... seedR:rxn27661 ... seedR:rxn27662 ... seedR:rxn34299	1 MNXM26@MNXD1 + 1 MNXM3@MNXD1 = 1 MNXM280@MNXD1 + 1 MNXM40333@MNXD1
ACONTa	MNXR154367	rheaR:10228	bigg.reaction:ACN_a_m ... bigg.reaction:ACONTa ... bigg.reaction:ACONTa_1 ... bigg.reaction:R_ACN_a_m ... bigg.reaction:R_ACONTa ... bigg.reaction:R_ACONTa_1 ... bigg.reaction:R_r0317 ... bigg.reaction:r0317 ... biggR:ACN_a_m ... biggR:ACONTa ... biggR:ACONTa_1 ... biggR:R_ACN_a_m ... biggR:R_ACONTa ... biggR:R_ACONTa_1 ... biggR:R_r0317 ... biggR:r0317 ... deprecated:MNXR95386 ... kegg.reaction:R01325 ... keggR:R01325 ... metacyc.reaction:ACONITATEDEHYDR-RXN ... metacycR:ACONITATEDEHYDR-RXN ... rhea:10228 ... rhea:10229 ... rhea:10230 ... rhea:10231 ... rheaR:10228 ... rheaR:10229 ... rheaR:10230 ... rheaR:10231 ... sabiork.reaction:268 ... sabiorkR:268 ... seed.reaction:rxn00974 ... seed.reaction:rxn19039 ... seed.reaction:rxn30619 ... seed.reaction:rxn31223 ... seed.reaction:rxn33227 ... seed.reaction:rxn33231 ... seedR:rxn00974 ... seedR:rxn19039 ... seedR:rxn30619 ... seedR:rxn31223 ... seedR:rxn33227 ... seedR:rxn33231	1 MNXM1092518@MNXD1 + 1 WATER@MNXD1 = 1 MNXM1107753@MNXD1
ACONTb	MNXR191427	keggR:R01900	bigg.reaction:ACN_b_m ... bigg.reaction:ACONTb ... bigg.reaction:ACONTb_1 ... bigg.reaction:R_ACN_b_m ... bigg.reaction:R_ACONTb ... bigg.reaction:R_ACONTb_1 ... bigg.reaction:R_r0426 ... bigg.reaction:r0426 ... biggR:ACN_b_m ... biggR:ACONTb ... biggR:ACONTb_1 ... biggR:R_ACN_b_m ... biggR:R_ACONTb ... biggR:R_ACONTb_1 ... biggR:R_r0426 ... biggR:r0426 ... deprecated:MNXR115664 ... deprecated:MNXR154368 ... kegg.reaction:R01900 ... keggR:R01900 ... sabiork.reaction:273 ... sabiorkR:273 ... seed.reaction:rxn01388 ... seed.reaction:rxn32587 ... seed.reaction:rxn32588 ... seed.reaction:rxn32589 ... seed.reaction:rxn34304 ... seedR:rxn01388 ... seedR:rxn32587 ... seedR:rxn32588 ... seedR:rxn32589 ... seedR:rxn34304	1 MNXM1092518@MNXD1 + 1 WATER@MNXD1 = 1 MNXM89661@MNXD1
ACt2r	MNXR95429	seedR:rxn05488	bigg.reaction:ACt2ipp ... bigg.reaction:ACt2m ... bigg.reaction:ACt2r ... bigg.reaction:ACt2rpp ... bigg.reaction:R_ACt2ipp ... bigg.reaction:R_ACt2m ... bigg.reaction:R_ACt2r ... bigg.reaction:R_ACt2rpp ... biggR:ACt2ipp ... biggR:ACt2m ... biggR:ACt2r ... biggR:ACt2rpp ... biggR:R_ACt2ipp ... biggR:R_ACt2m ... biggR:R_ACt2r ... biggR:R_ACt2rpp ... deprecated:MNXR463 ... metacyc.reaction:TRANS-RXN0-571 ... metacycR:TRANS-RXN0-571 ... seed.reaction:rxn05488 ... seed.reaction:rxn08061 ... seedR:rxn05488 ... seedR:rxn08061	1 MNXM01@MNXD1 + 1 MNXM26@MNXD1 = 1 MNXM01@MNXD2 + 1 MNXM26@MNXD2
ADK1	MNXR95450	rheaR:12973	bigg.reaction:ADK1 ... bigg.reaction:ADK1g ... bigg.reaction:ADK1m ... bigg.reaction:ATAMh ... bigg.reaction:R_ADK1 ... bigg.reaction:R_ADK1g ... bigg.reaction:R_ADK1m ... bigg.reaction:R_ATAMh ... biggR:ADK1 ... biggR:ADK1g ... biggR:ADK1m ... biggR:ATAMh ... biggR:R_ADK1 ... biggR:R_ADK1g ... biggR:R_ADK1m ... biggR:R_ATAMh ... deprecated:MNXR479 ... deprecated:MNXR90840 ... kegg.reaction:R00127 ... keggR:R00127 ... metacyc.reaction:ADENYL-KIN-RXN ... metacycR:ADENYL-KIN-RXN ... rhea:12973 ... rhea:12974 ... rhea:12975 ... rhea:12976 ... rheaR:12973 ... rheaR:12974 ... rheaR:12975 ... rheaR:12976 ... sabiork.reaction:82 ... sabiorkR:82 ... seed.reaction:rxn00097 ... seed.reaction:rxn27684 ... seed.reaction:rxn27685 ... seedR:rxn00097 ... seedR:rxn27684 ... seedR:rxn27685	1 MNXM3@MNXD1 + 1 MNXM728294@MNXD1 = 2 MNXM40333@MNXD1
AKGDH	MNXR190634	rheaR:27786	bigg.reaction:AKGDH ... bigg.reaction:AKGDm ... bigg.reaction:R_AKGDH ... bigg.reaction:R_AKGDm ... biggR:AKGDH ... biggR:AKGDm ... biggR:R_AKGDH ... biggR:R_AKGDm ... deprecated:MNXR190635 ... deprecated:MNXR95655 ... kegg.reaction:R08549 ... keggR:R08549 ... metacyc.reaction:2OXOGLUTARATEDEH-RXN ... metacycR:2OXOGLUTARATEDEH-RXN ... rhea:27786 ... rhea:27787 ... rhea:27788 ... rhea:27789 ... rheaR:27786 ... rheaR:27787 ... rheaR:27788 ... rheaR:27789 ... sabiork.reaction:8163 ... sabiorkR:8163 ... seed.reaction:rxn08094 ... seed.reaction:rxn17745 ... seedR:rxn08094 ... seedR:rxn17745	1 MNXM10@MNXD1 + 1 MNXM1104774@MNXD1 + 1 MNXM13@MNXD1 = 1 MNXM20@MNXD1 + 1 MNXM727276@MNXD1 + 1 MNXM8@MNXD1
AKGt2r	MNXR95661	rheaR:29011	bigg.reaction:AKGt2n ... bigg.reaction:AKGt2r ... bigg.reaction:AKGt2rpp ... bigg.reaction:R_AKGt2n ... bigg.reaction:R_AKGt2r ... bigg.reaction:R_AKGt2rpp ... biggR:AKGt2n ... biggR:AKGt2r ... biggR:AKGt2rpp ... biggR:R_AKGt2n ... biggR:R_AKGt2r ... biggR:R_AKGt2rpp ... deprecated:MNXR599 ... metacyc.reaction:TRANS-RXN-23 ... metacycR:TRANS-RXN-23 ... rhea:29011 ... rhea:29012 ... rhea:29013 ... rhea:29014 ... rheaR:29011 ... rheaR:29012 ... rheaR:29013 ... rheaR:29014 ... seed.reaction:rxn05493 ... seed.reaction:rxn08095 ... seed.reaction:rxn09827 ... seedR:rxn05493 ... seedR:rxn08095 ... seedR:rxn09827	1 MNXM01@MNXD1 + 1 MNXM20@MNXD1 = 1 MNXM01@MNXD2 + 1 MNXM20@MNXD2
ALCD2x	MNXR95725	rheaR:25290	bigg.reaction:ALCD2ir ... bigg.reaction:ALCD2irm ... bigg.reaction:ALCD2x ... bigg.reaction:R_ALCD2ir ... bigg.reaction:R_ALCD2irm ... bigg.reaction:R_ALCD2x ... biggR:ALCD2ir ... biggR:ALCD2irm ... biggR:ALCD2x ... biggR:R_ALCD2ir ... biggR:R_ALCD2irm ... biggR:R_ALCD2x ... deprecated:MNXR648 ... deprecated:MNXR91114 ... kegg.reaction:R00754 ... keggR:R00754 ... metacyc.reaction:ALCOHOL-DEHYDROG-RXN ... metacycR:ALCOHOL-DEHYDROG-RXN ... rhea:25290 ... rhea:25291 ... rhea:25292 ... rhea:25293 ... rheaR:25290 ... rheaR:25291 ... rheaR:25292 ... rheaR:25293 ... sabiork.reaction:597 ... sabiorkR:597 ... seed.reaction:rxn00543 ... seed.reaction:rxn27700 ... seed.reaction:rxn30083 ... seed.reaction:rxn38033 ... seed.reaction:rxn38034 ... seedR:rxn00543 ... seedR:rxn27700 ... seedR:rxn30083 ... seedR:rxn38033 ... seedR:rxn38034	1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM75@MNXD1 = 1 MNXM1108092@MNXD1 + 1 MNXM8@MNXD1
